date,traffic,weather,public_transport,carbon_emission
2024-12-30,94,Clear,82,0.85
2024-12-31,56,Rain,77,0.77
2025-01-01,85,Clear,95,0.21
2025-01-02,69,Rain,80,0.83
2025-01-03,86,Clear,77,0.99
2025-01-04,81,Clear,61,1.58
2025-01-05,78,Cloudy,92,0.31
2025-01-06,95,Cloudy,61,1.85
2025-01-07,78,Rain,69,1.45
2025-01-08,69,Clear,91,0.31
2025-01-09,87,Rain,76,1.25
2025-01-10,50,Cloudy,84,0.4
2025-01-11,75,Rain,54,2.07
2025-01-12,84,Cloudy,62,1.6
2025-01-13,63,Cloudy,73,0.85
2025-01-14,51,Rain,81,0.58
2025-01-15,71,Rain,63,1.58
2025-01-16,99,Rain,97,0.18
2025-01-17,83,Rain,96,0.2
2025-01-18,66,Rain,93,0.28
2025-01-19,93,Clear,68,1.49
2025-01-20,96,Cloudy,58,2.02
2025-01-21,61,Rain,61,1.43
2025-01-22,57,Clear,80,0.57
2025-01-23,65,Cloudy,85,0.49
2025-01-24,77,Cloudy,91,0.35
2025-01-25,86,Cloudy,69,1.33
2025-01-26,61,Clear,92,0.24
2025-01-27,93,Rain,95,0.28
2025-01-28,100,Clear,99,0.05
